,,,,,,,,,(1명/14명),
73,강서구 내발산동,화곡중학교,203명,87.30%,92.60%,86.70%,82.80%,3.70%,7명,188명
,,,,,,,,,(3명/4명),
74,종로구 필운동,배화여자중학교,167명,87.20%,94.00%,88.60%,79.00%,5.10%,6명,117명
,,,,,,,,,(0명/6명),
75,노원구 하계동,중평중학교,340명,87.10%,91.80%,85.60%,84.10%,6.30%,16명,252명
,,,,,,,,,(3명/13명),
76,양천구 신정동,목동중학교,482명,87.10%,90.50%,85.90%,84.90%,5.20%,23명,435명
,,,,,,,,,(3명/20명),
77,강남구 개포동,개원중학교,267명,87.00%,92.90%,85.00%,83.10%,0.50%,1명,181명
,,,,,,,,,(0명/1명),
78,송파구 송파동,가락중학교,247명,86.70%,93.10%,85.00%,82.20%,1.10%,2명,175명
,,,,,,,,,(0명/2명),
79,강서구 내발산1동,덕원중학교,277명,86.60%,92.40%,85.90%,81.60%,3.30%,8명,241명
,,,,,,,,,(1명/7명),
80,마포구 상암동,상암중학교,369명,86.50%,95.10%,83.20%,81.30%,1.90%,8명,402명
,,,,,,,,,(2명/6명),
81,노원구 공릉동,태랑중학교,263명,86.40%,92.80%,85.20%,81.40%,7.80%,16명,205명
,,,,,,,,,(1명/15명),
82,강동구 암사동,강일중학교,203명,86.40%,94.10%,85.80%,79.40%,4.00%,8명,197명
,,,,,,,,,(2명/6명),
83,중랑구 묵동,원묵중학교,392명,86.30%,93.90%,84.00%,81.20%,4.20%,13명,308명
,,,,,,,,,(0명/13명),
84,서대문구 대신동,이화여자대학교사범대학부속이화·금란중학교,220명,86.30%,93.20%,82.70%,83.20%,9.70%,12명,123명
,,,,,,,,,(4명/8명),
85,마포구 중동,중암중학교,309명,86.30%,91.90%,86.20%,81.00%,3.60%,8명,218명
,,,,,,,,,(5명/3명),
86,송파구 가락동,송파중학교,381명,86.30%,91.10%,85.00%,82.90%,4.90%,15명,305명
,,,,,,,,,(6명/9명),
87,동대문구 회기동,경희여자중학교,217명,86.30%,94.90%,84.30%,79.70%,2.20%,3명,134명
,,,,,,,,,(0명/3명),
88,동대문구 휘경동,휘경여자중학교,187명,86.20%,97.30%,85.60%,75.90%,1.30%,2명,153명
,,,,,,,,,(0명/2명),
89,노원구 상계동,신상중학교,182명,86.10%,93.40%,86.30%,78.60%,2.70%,4명,145명
,,,,,,,,,(1명/3명),
90,강서구 염창동,염경중학교,254명,86.00%,91.70%,85.40%,81.10%,2.80%,6명,210명
,,,,,,,,,(1명/5명),
91,성동구 응봉동,광희중학교,285명,85.90%,90.50%,85.30%,82.10%,2.20%,6명,272명
,,,,,,,,,(2명/4명),
92,노원구 상계동,노원중학교,197명,85.90%,92.90%,85.30%,79.70%,3.20%,5명,152명
,,,,,,,,,(0명/5명),
93,양천구 신정동,신서중학교,443명,85.80%,86.50%,85.60%,85.30%,3.70%,14명,377명
,,,,,,,,,(5명/9명),
94,송파구 장지동,송례중학교,129명,85.70%,93.00%,86.80%,77.50%,4.20%,13명,306명
,,,,,,,,,(3명/10명),
95,강남구 청담동,청담중학교,162명,85.60%,93.20%,87.00%,76.60%,5.50%,6명,108명
,,,,,,,,,(1명/5명),
96,노원구 상계동,상계중학교,317명,85.60%,92.10%,83.30%,81.40%,3.90%,8명,204명
,,,,,,,,,(2명/6명),
97,서대문구 홍은동,정원여자중학교,214명,85.50%,94.00%,86.00%,76.70%,2.10%,3명,141명
,,,,,,,,,(0명/3명),
98,서대문구 북가좌동,가재울중학교,224명,85.40%,92.90%,79.90%,83.60%,4.80%,10명,208명
,,,,,,,,,(4명/6명),
99,동작구 동작동,동작중학교,142명,85.40%,89.40%,85.90%,81.00%,1.30%,2명,143명
,,,,,,,,,(2명/0명),
100,노원구 상계동,상경중학교,283명,85.10%,92.20%,85.20%,78.10%,1.40%,3명,209명
,,,,,,,,,(0명/3명),
101,송파구 잠실동,아주중학교,233명,85.10%,91.80%,82.00%,81.50%,3.70%,7명,186명
,,,,,,,,,(5명/2명),
102,동작구 상도동,상현중학교,208명,84.90%,92.30%,83.70%,78.90%,3.60%,6명,166명
,,,,,,,,,(4명/2명),
103,노원구 상계동,노일중학교,235명,84.60%,93.60%,80.80%,79.60%,2.30%,3명,128명
,,,,,,,,,(0명/3명),
104,영등포구 여의도동,윤중중학교,209명,84.60%,90.40%,84.70%,78.90%,3.70%,6명,162명
,,,,,,,,,(0명/6명),
105,강남구 일원2동,중동중학교,275명,84.60%,88.40%,83.30%,82.20%,2.00%,4명,199명
,,,,,,,,,(1명/3명),
106,강남구 자곡동,세곡중학교,247명,84.60%,92.70%,88.30%,72.90%,3.00%,8명,263명
,,,,,,,,,(3명/5명),
107,마포구 대흥동,숭문중학교,174명,84.60%,91.90%,83.30%,78.70%,2.90%,4명,135명
,,,,,,,,,(3명/1명),
108,종로구 청운동,청운중학교,184명,84.60%,88.60%,84.80%,80.40%,4.40%,6명,136명
,,,,,,,,,(1명/5명),
109,도봉구 방학동,창동중학교,298명,84.40%,91.60%,84.90%,76.90%,8.50%,18명,211명
,,,,,,,,,(2명/16명),
110,은평구 진관동,진관중학교,326명,84.10%,92.30%,81.00%,79.10%,3.00%,10명,332명
,,,,,,,,,(4명/6명),
111,강북구 미아동,삼각산중학교,354명,84.00%,90.10%,81.10%,80.80%,6.30%,20명,315명
,,,,,,,,,(1명/19명),
112,종로구 동숭동,서울대학교사범대학부설여자중학교,193명,83.90%,96.90%,81.40%,73.60%,6.50%,8명,123명
,,,,,,,,,(0명/8명),
113,도봉구 쌍문동,정의여자중학교,179명,83.80%,95.00%,87.10%,69.30%,10.60%,14명,132명
,,,,,,,,,(0명/14명),
114,영등포구 문래동3가,양화중학교,224명,83.80%,90.20%,82.60%,78.60%,6.00%,12명,200명
,,,,,,,,,(5명/7명),
115,성북구 삼선동2가,한성여자중학교,168명,83.70%,92.90%,83.30%,75.00%,0.70%,1명,135명
,,,,,,,,,(0명/1명),
116,동작구 사당동,상도중학교,171명,83.60%,91.20%,80.80%,79.00%,1.40%,2명,142명
,,,,,,,,,(0명/2명),
117,송파구 문정동,문정중학교,256명,83.60%,93.30%,80.10%,77.40%,2.70%,5명,183명
,,,,,,,,,(0명/5명),
118,중구 신당동,금호여자중학교,140명,83.60%,93.60%,88.60%,68.60%,1.70%,2명,113명
,,,,,,,,,(0명/2명),
119,양천구 신정동,금옥중학교,343명,83.50%,89.80%,82.20%,78.70%,2.00%,5명,245명
,,,,,,,,,(2명/3명),
120,도봉구 창동,창일중학교,310명,83.50%,91.90%,82.20%,76.40%,3.00%,7명,226명
,,,,,,,,,(3명/4명),
121,용산구 서빙고동,한강중학교,157명,83.40%,94.30%,84.10%,72.00%,2.50%,3명,118명
,,,,,,,,,(0명/3명),
122,동작구 대방동,성남중학교,261명,83.40%,87.30%,82.40%,80.50%,1.40%,3명,206명
,,,,,,,,,(3명/0명),
123,성북구 돈암동,고명중학교,178명,83.30%,90.00%,77.50%,82.60%,4.90%,6명,121명
,,,,,,,,,(4명/2명),
124,강남구 논현동,언북중학교,118명,83.30%,94.10%,83.90%,72.00%,1.00%,1명,91명
,,,,,,,,,(0명/1명),
125,노원구 하계동,하계중학교,446명,83.20%,91.70%,80.70%,77.40%,3.20%,11명,342명
,,,,,,,,,(3명/8명),
126,마포구 신수동,신수중학교,168명,83.10%,91.10%,84.50%,73.80%,1.10%,2명,169명
,,,,,,,,,(1명/1명),
127,영등포구 당산동6가,당산중학교,166명,83.10%,89.80%,82.50%,77.10%,6.50%,10명,152명
,,,,,,,,,(6명/4명),
128,노원구 월계동,녹천중학교,181명,83.00%,92.30%,81.20%,75.70%,1.70%,2명,114명
,,,,,,,,,(0명/2명),
129,송파구 가락동,석촌중학교,179명,83.00%,91.60%,81.60%,76.00%,1.50%,2명,133명
,,,,,,,,,(0명/2명),
130,마포구 염리동,동도중학교,222명,82.90%,91.90%,79.30%,77.50%,3.90%,9명,229명
,,,,,,,,,(2명/7명),
131,강동구 천호동,성덕여자중학교,228명,82.90%,93.90%,82.90%,71.90%,2.20%,4명,178명
,,,,,,,,,(0명/4명),
132,노원구 상계동,청원중학교,233명,82.80%,90.60%,82.80%,75.10%,0.50%,1명,181명
,,,,,,,,,(0명/1명),
133,강서구 방화동,삼정중학교,114명,82.70%,92.10%,78.10%,78.10%,0.00%,0명,112명
